live_weight_kg,backfat_mm,loin_depth_mm,age_days,market_class,value_usd
27.9,11.7,35.3,70,feeder_pig,80.96
27.1,9.5,35.4,74,feeder_pig,91.96
33.4,10.5,35.9,68,feeder_pig,113.81
26,8.5,38.1,65,feeder_pig,96.75
22.9,10.7,37.2,78,feeder_pig,88.64
27.7,10,35.2,76,feeder_pig,97.27
27.9,8.9,31.8,81,feeder_pig,98.4
32.4,9.6,35.3,79,feeder_pig,110.49
30.3,9.7,34.9,77,feeder_pig,99.15
28.4,9.6,35.8,79,feeder_pig,98.36
32.9,12.7,43.8,75,feeder_pig,123.07
22.2,9.9,32.9,78,feeder_pig,83.51
24.4,9.6,36.7,69,feeder_pig,89.69
23.3,6.9,39.3,78,feeder_pig,91.21
25.4,8.7,35.4,80,feeder_pig,89.88
21.5,9.6,44.4,70,feeder_pig,83.34
29.5,9,33.5,75,feeder_pig,101.12
26.1,12.1,36.3,70,feeder_pig,86.84
21.1,9.8,31.8,71,feeder_pig,78.32
22.9,11.9,33.6,66,feeder_pig,76.34
28.3,10.1,36,85,feeder_pig,98.04
30.4,10.1,38.4,84,feeder_pig,107.67
35,9.9,36.3,79,feeder_pig,110.53
38.7,10,40,91,feeder_pig,106.07
28.7,12.6,34.6,73,feeder_pig,100.08
23,6.5,33.7,99,feeder_pig,88.21
18.5,7,45.8,73,feeder_pig,75.05
28.1,9.2,36.6,77,feeder_pig,103.95
23.7,10,32.1,72,feeder_pig,74
25.3,11,32.2,78,feeder_pig,96.32
24.6,10.7,31.2,82,feeder_pig,85.7
26.4,9.4,38.7,74,feeder_pig,76.76
31.3,11.5,33.5,89,feeder_pig,102.84
27.6,11.5,35.5,77,feeder_pig,91.02
26.4,10.3,34.7,77,feeder_pig,87.74
22.9,11.4,37.9,68,feeder_pig,79.31
20.3,10.4,31.6,78,feeder_pig,76.12
25.1,9.2,30.7,74,feeder_pig,84.33
26.8,11,35.9,70,feeder_pig,78.26
34.1,10.2,37.4,69,feeder_pig,120.74
27.5,10,36.3,96,feeder_pig,93.7
30.9,12.2,31.8,73,feeder_pig,93.26
25,6.3,37.7,63,feeder_pig,84.78
22.3,7.9,32,69,feeder_pig,89.91
23.1,8.2,32.9,75,feeder_pig,75.32
24.1,9.5,31.2,79,feeder_pig,87.09
35.5,9.6,40.2,79,feeder_pig,110.85
23.7,7.7,37.5,80,feeder_pig,85.53
30.4,8.5,37.4,70,feeder_pig,94.95
23.4,8.7,40,78,feeder_pig,84.56
30.7,13.7,46.3,68,feeder_pig,104.8
28.5,12.7,28.2,70,feeder_pig,93.52
26.4,9.4,32,68,feeder_pig,85.28
26.8,9.5,32.5,65,feeder_pig,91.88
24.4,8.3,31.6,84,feeder_pig,94.95
28.8,7.1,30.7,81,feeder_pig,84.73
25.2,9.8,33.8,83,feeder_pig,89.45
22.1,8.5,30.1,75,feeder_pig,74.26
21.9,9.9,36.3,81,feeder_pig,74.99
27.7,7.6,35.2,61,feeder_pig,99.55
33.3,8.9,36.9,82,feeder_pig,105.23
27.6,10.2,37,76,feeder_pig,86.33
26.5,10.5,37.4,80,feeder_pig,104.19
28.1,10.6,33.5,78,feeder_pig,102.45
32.2,8,43.5,67,feeder_pig,95.73
27.9,11.3,35.9,63,feeder_pig,83.49
25.4,8.8,27.6,69,feeder_pig,92.39
31.4,10.9,31,80,feeder_pig,98.58
28.7,10,28,81,feeder_pig,106.14
33.1,7.9,35.1,64,feeder_pig,113.98
27.7,9.5,34.5,67,feeder_pig,97.99
22.1,10.5,33.1,69,feeder_pig,73.6
21.5,10.9,43,72,feeder_pig,89.01
33.6,9.8,37.2,64,feeder_pig,99.47
33.9,12.3,37.9,64,feeder_pig,119.13
26.3,11.5,31.3,68,feeder_pig,92.69
25.5,9.6,31,76,feeder_pig,82.32
32.8,11.1,35.1,66,feeder_pig,112.27
22.6,12.9,35.7,74,feeder_pig,100.18
23.4,12.9,27.6,83,feeder_pig,78.22
29.6,8.2,34.3,65,feeder_pig,105.11
25.4,8.6,35.1,73,feeder_pig,88.1
27,12.2,34.1,83,feeder_pig,92.37
26.3,8.4,31.7,72,feeder_pig,79.93
28.4,8,32.8,70,feeder_pig,97.48
32.6,9.3,34.3,84,feeder_pig,106.78
27.4,10.6,35.4,73,feeder_pig,108.89
29.6,9.8,37.4,84,feeder_pig,86.62
18.8,9,39.3,78,feeder_pig,76.56
26.8,9,33.8,72,feeder_pig,103.96
23.6,8.9,33.2,79,feeder_pig,84.47
22.1,8.7,36.8,78,feeder_pig,83.69
23.5,13.4,37.4,83,feeder_pig,78.01
25.7,10.4,33.3,71,feeder_pig,82.41
30.7,11.3,38.2,75,feeder_pig,87.99
21.7,9.3,38.9,75,feeder_pig,79.72
27.1,9.7,40.2,81,feeder_pig,89.05
25.1,8.9,42.1,67,feeder_pig,95.09
25.7,6,31.5,83,feeder_pig,86.19
31,7.9,35.1,79,feeder_pig,100.59
29.2,7.3,35,64,feeder_pig,97.28
32.3,6.6,34.6,85,feeder_pig,107.69
26.4,8.2,32.4,93,feeder_pig,88.49
24.2,12,29.1,83,feeder_pig,74.7
26.1,9.9,35.4,86,feeder_pig,92.89
28,11.9,31.9,76,feeder_pig,101.57
27.7,10.6,35.3,62,feeder_pig,96.14
22.7,11.2,31.8,60,feeder_pig,77
27.4,8.6,30.6,77,feeder_pig,92.71
27.9,10.8,35.9,70,feeder_pig,79.28
37.1,11.1,35.6,68,feeder_pig,114.42
34.5,9.1,37.3,74,feeder_pig,109.07
23.6,10.8,43.7,80,feeder_pig,82.66
25.9,10.8,36.1,63,feeder_pig,85.37
21.1,9.2,36.9,71,feeder_pig,79.23
24.6,8.3,30.7,87,feeder_pig,95.77
28.3,8.2,29.9,66,feeder_pig,104.39
31.8,10.1,41.3,82,feeder_pig,100.1
24.1,10.5,31.3,71,feeder_pig,81.13
24.4,8.8,30.8,79,feeder_pig,83.1
18.4,10,34.8,84,feeder_pig,81.36
26.3,10.9,34.6,81,feeder_pig,92.6
22.8,10.9,31.4,82,feeder_pig,82.88
24.9,12.3,33.8,66,feeder_pig,91.13
23.5,11.9,39.9,84,feeder_pig,82.36
26.6,8.5,31.8,68,feeder_pig,103.53
20,12.5,29.4,77,feeder_pig,73.69
21.1,9.2,38.8,77,feeder_pig,76.61
35.5,11.6,37,79,feeder_pig,110.48
21.9,10.1,32.5,78,feeder_pig,91.21
22.6,9.4,28.7,68,feeder_pig,78.15
34.3,7.3,32,64,feeder_pig,118.22
38.6,9.7,34.8,82,feeder_pig,114.56
22.3,7.7,39.7,76,feeder_pig,81.62
25.5,11.5,30.9,84,feeder_pig,92.63
28.4,12.3,34.7,75,feeder_pig,88
33.9,8.8,37.7,64,feeder_pig,117.97
23.1,10.5,25.5,83,feeder_pig,82.98
26,8.9,39.1,72,feeder_pig,87.64
30.1,9.1,30.3,78,feeder_pig,98.52
28.7,11.2,36.3,70,feeder_pig,92.94
25.5,9.9,36,88,feeder_pig,93.97
26.5,12.6,39.3,68,feeder_pig,107.97
21.5,9.3,37.2,72,feeder_pig,80.49
26,11.5,25.5,76,feeder_pig,90.02
25.9,10.1,31.9,66,feeder_pig,90.05
27.9,11.2,35.6,78,feeder_pig,95.41
24.8,9.3,34.2,88,feeder_pig,87.9
28.9,9.9,36.9,71,feeder_pig,92.25
31.1,9.8,38.2,78,feeder_pig,107.36
27.6,8.7,37.4,53,feeder_pig,95.15
28.4,11,34.1,75,feeder_pig,88.49
27.2,11,27.6,72,feeder_pig,97.95
27,10.9,33.2,68,feeder_pig,93.07
24.1,12.3,36.7,84,feeder_pig,84.71
28.3,12.2,30.6,72,feeder_pig,103.52
26.6,9.4,37.5,74,feeder_pig,80.06
35.4,10.6,38.6,72,feeder_pig,123.88
33.3,9.1,35.5,60,feeder_pig,101.69
28.5,10,22.7,66,feeder_pig,92.74
23.9,9.1,29.9,83,feeder_pig,80.55
22.6,12.4,42.5,58,feeder_pig,78.67
31.8,10.5,32.8,69,feeder_pig,113.47
28.1,9.7,27.1,72,feeder_pig,107.46
28.9,11.8,39.9,89,feeder_pig,97.32
20,6.7,35.1,81,feeder_pig,83.87
30.7,7,39.4,71,feeder_pig,107.1
28.8,11.2,36.1,85,feeder_pig,111.29
22.6,10.1,36.8,69,feeder_pig,68.13
25.1,10.4,36.5,83,feeder_pig,93.17
28.1,8,37.8,64,feeder_pig,93.5
27.2,10,44.1,84,feeder_pig,80.04
25.8,13,38.9,72,feeder_pig,87.93
26.6,11.2,28.7,67,feeder_pig,103.69
26,10.3,36.8,73,feeder_pig,87.11
27.6,9.3,39.6,77,feeder_pig,104.41
32.9,9.4,39.8,71,feeder_pig,119.35
16.7,6.8,33.3,79,feeder_pig,72.85
26.1,10.4,39.7,70,feeder_pig,94.91
27.7,11.3,38.7,80,feeder_pig,82.52
28.2,7.6,45.3,79,feeder_pig,97.88
25.5,9,32,75,feeder_pig,97.16
20,8.3,33,71,feeder_pig,79.35
28.3,8.6,33.8,76,feeder_pig,100.22
33.9,10.1,33,79,feeder_pig,109.07
20.9,6.9,31.4,91,feeder_pig,98.7
30.5,10.9,23.9,83,feeder_pig,91.89
25.7,11.1,33.3,83,feeder_pig,102.15
26.8,9.6,36.5,100,feeder_pig,95.6
22.8,6.3,33,79,feeder_pig,100.17
25.7,8.5,42.7,79,feeder_pig,86.29
32.2,11.8,35.1,81,feeder_pig,105.43
29.3,5.8,40.2,67,feeder_pig,101.77
33.9,9.5,36,71,feeder_pig,111.1
31.7,8.2,38.3,71,feeder_pig,117.11
28.8,11.2,36.1,80,feeder_pig,100.48
34,9,40.5,74,feeder_pig,122.61
28.8,10.6,35.2,76,feeder_pig,92.12
30.3,10.8,37,84,feeder_pig,94.94
25.8,12.8,36.5,82,feeder_pig,89.9
27.3,9.7,33.8,74,feeder_pig,93.89
24.2,10.6,36.6,70,feeder_pig,86.57
31,7.8,43.9,84,feeder_pig,101.24
22.3,11.8,33.9,81,feeder_pig,91.16
30.1,8.9,36.7,62,feeder_pig,99.55
26.2,9.2,40,72,feeder_pig,106.69
31.7,10,39.6,76,feeder_pig,106.64
30,7.7,35,81,feeder_pig,107.53
34.3,10.3,25.5,82,feeder_pig,109.43
29.9,11.5,37.1,77,feeder_pig,93.54
20.7,10.4,26.1,80,feeder_pig,78.21
26.7,7.6,40.9,76,feeder_pig,113.54
22.3,9.8,35.7,70,feeder_pig,86.08
24.9,11.1,39,73,feeder_pig,97.61
33,7.2,31.4,75,feeder_pig,113.09
29.6,8.4,28.8,75,feeder_pig,100.26
24.2,11.3,36,60,feeder_pig,88.69
22.9,10.4,34.9,72,feeder_pig,88.89
27.1,10.6,33,75,feeder_pig,98.75
22.1,12.8,35.3,73,feeder_pig,70.21
24.3,10.7,46.1,73,feeder_pig,94.93
28.2,11,38.3,79,feeder_pig,95.92
31.6,14.1,39.2,66,feeder_pig,99.71
29.4,9.7,38.4,62,feeder_pig,111.49
17.8,8.8,40.9,72,feeder_pig,71.7
28.2,10.6,34.2,81,feeder_pig,84.5
27.3,10.7,26.8,89,feeder_pig,96.27
28.7,9.2,34.2,81,feeder_pig,86.52
33.5,8.5,38.2,63,feeder_pig,95.58
18.7,13.5,31.1,73,feeder_pig,78.16
24.6,10.5,34.3,77,feeder_pig,89.14
29.4,8.9,32.2,76,feeder_pig,102.44
20.7,11.4,41,79,feeder_pig,78.38
32.9,9.8,38,68,feeder_pig,97.46
28.5,9.6,37.6,76,feeder_pig,89.33
30.4,10.8,37.5,78,feeder_pig,99.81
24.7,8.1,34.9,82,feeder_pig,80.13
30.3,10.5,35.8,69,feeder_pig,103.62
31.3,12.9,30.3,72,feeder_pig,94.99
27.9,10.7,26.3,53,feeder_pig,92.45
27.9,9.4,35.6,70,feeder_pig,97.9
28.1,9.2,36.3,71,feeder_pig,100.7
23.5,9.4,39.8,67,feeder_pig,93.08
26.4,9.6,41.3,76,feeder_pig,93.3
26.4,9.4,41.3,75,feeder_pig,97.68
28.5,11.4,31,57,feeder_pig,95.97
31,7.4,33.6,77,feeder_pig,84.65
22.8,11.3,36.9,68,feeder_pig,89.74
26.5,9.4,45.1,79,feeder_pig,99.53
32.9,10.6,40.9,65,feeder_pig,113.86
24,8.3,39.5,75,feeder_pig,80.62
23.7,12,33.4,73,feeder_pig,81.71
27.8,11.9,31.5,77,feeder_pig,83.66
30.4,11.4,38.2,76,feeder_pig,107.82
27,7.7,30.6,73,feeder_pig,82.3
32.3,11.2,34,63,feeder_pig,96.67
30.4,10.6,34.5,63,feeder_pig,104.92
30.4,7.6,41.4,70,feeder_pig,101.47
29.2,10,33.6,75,feeder_pig,90.61
36.3,10.5,25.2,70,feeder_pig,116.31
26.2,10.8,37,80,feeder_pig,100.08
19,10.3,32.2,73,feeder_pig,80.44
33.4,10.4,35.2,67,feeder_pig,114.55
25.2,12.2,34.7,73,feeder_pig,86.18
27.4,11.8,33.9,77,feeder_pig,91.15
32.2,5.7,38.2,78,feeder_pig,105.2
20.6,9.5,28.9,90,feeder_pig,78.51
22,9.8,32.9,70,feeder_pig,77.79
20.6,7.4,37.7,74,feeder_pig,79.79
23.8,10.1,32.5,78,feeder_pig,90.33
28.8,11.9,28.6,75,feeder_pig,102.62
29.1,8.4,37.7,71,feeder_pig,104.34
28.1,10.5,39.5,63,feeder_pig,112.52
21.3,8.6,34.8,71,feeder_pig,76.74
17.8,9,27.2,66,feeder_pig,55.86
27.2,12.2,37.8,61,feeder_pig,99.7
25.1,9.2,28.4,69,feeder_pig,80.89
28.8,10.7,36.2,67,feeder_pig,95.71
29.8,7.2,31.5,80,feeder_pig,86.39
27.6,12.8,30.4,80,feeder_pig,83.49
30,10.9,33.2,68,feeder_pig,86.86
27.9,9.7,34.3,73,feeder_pig,92.3
29.1,10.9,32.4,60,feeder_pig,93.34
24.2,7.9,37.4,71,feeder_pig,91.34
26.3,11.8,33.2,78,feeder_pig,99.94
27.8,9.5,38.9,82,feeder_pig,103.43
30.3,9.7,36.1,69,feeder_pig,88.97
25.4,9.3,32.2,83,feeder_pig,94.4
29.1,9.1,31.5,63,feeder_pig,98.38
25.9,11,28.4,65,feeder_pig,86.6
26.5,10.4,36.2,81,feeder_pig,92.9
30.3,11,33.6,88,feeder_pig,101.3
19,10,25.5,79,feeder_pig,66.01
21.8,10.8,32.9,75,feeder_pig,79.31
21.1,9.4,31.4,57,feeder_pig,89.07
17.7,13.3,41.3,59,feeder_pig,68.32
24.3,7.6,28.2,76,feeder_pig,78.24
30,11.9,29.2,72,feeder_pig,95.59
25.9,12.1,39.4,66,feeder_pig,82.96
27.8,8.7,40.4,76,feeder_pig,85.62
31.4,13.3,32,76,feeder_pig,96.68
32.3,11.5,32.5,83,feeder_pig,114.7
26.7,11.5,37.5,76,feeder_pig,92.98
32.4,10,25.7,85,feeder_pig,102.56
27.4,9.7,27.6,75,feeder_pig,74.28
23.7,9.7,33.9,74,feeder_pig,89.84
24.6,10.6,41.2,84,feeder_pig,91.99
21.1,12.1,33.3,67,feeder_pig,73.07
23.4,10.3,35.4,98,feeder_pig,87.38
25.6,8.6,39.5,78,feeder_pig,95.55
30.2,11.2,43.4,78,feeder_pig,95.7
33.9,11.4,32.7,79,feeder_pig,109.46
21.5,11,34.9,90,feeder_pig,90.53
28.6,11.1,42.3,81,feeder_pig,98.37
22.8,9.6,28.9,62,feeder_pig,74.99
28.9,8.6,39.1,86,feeder_pig,99.83
26.5,8.7,30.9,72,feeder_pig,98.63
19.7,7.5,35.4,76,feeder_pig,70.23
30.7,10.4,34,65,feeder_pig,105.85
24.6,9.9,31.2,79,feeder_pig,81.38
24.9,9.3,31.1,70,feeder_pig,89.83
22.7,5.6,36.1,76,feeder_pig,84
24.4,8.1,39,73,feeder_pig,87.16
28.7,11.7,34.5,90,feeder_pig,108.21
26.2,9,35.3,91,feeder_pig,81.82
28.3,10.5,37.3,75,feeder_pig,101.39
28.4,7.9,31.1,76,feeder_pig,110.56
32.3,12.2,38,72,feeder_pig,110.78
25.6,9.8,38.3,84,feeder_pig,81.98
21.1,10.4,45.4,72,feeder_pig,75.55
31.3,13.5,33.5,72,feeder_pig,93.8
25.7,12.3,33.2,83,feeder_pig,89.56
31.5,9.5,38.1,71,feeder_pig,107.56
28.5,9.1,38.3,75,feeder_pig,89.4
26.5,9.5,32.9,62,feeder_pig,85.17
28.4,10.8,33.4,81,feeder_pig,89.05
34.8,9.8,37.2,91,feeder_pig,110.87
35.3,9.4,31.7,81,feeder_pig,126.87
27.3,12.2,33.4,87,feeder_pig,84.53
27.6,9.8,35.4,68,feeder_pig,87.76
31.3,13.4,39,77,feeder_pig,93.57
23.6,10.1,32.6,67,feeder_pig,90.22
28.3,12.7,27.6,73,feeder_pig,90.57
26.9,10.5,27.3,81,feeder_pig,82.26
28.3,11.4,30,76,feeder_pig,90.24
23.7,8.9,29.7,64,feeder_pig,78.54
20.6,8.7,34.4,64,feeder_pig,82.93
18.7,10.7,30.2,64,feeder_pig,94.16
22.5,11.5,32.2,79,feeder_pig,85.81
25.2,10.1,31.9,92,feeder_pig,87.57
25.8,8.1,33.2,86,feeder_pig,86.56
34.7,8,40.3,60,feeder_pig,104.34
31.4,7.9,37.6,86,feeder_pig,112.43
23.2,7.3,35.1,82,feeder_pig,93.18
28.4,10.2,33.2,63,feeder_pig,92.19
25.4,11.7,33.3,73,feeder_pig,97.88
25.9,10,36.3,84,feeder_pig,92.3
27.7,6.6,37.3,79,feeder_pig,105.51
29.5,9.7,31.4,65,feeder_pig,100.21
25.6,9.8,35.1,80,feeder_pig,89.61
31.3,13.1,26.9,58,feeder_pig,89.19
22.4,7.8,35.8,73,feeder_pig,84.78
27,9.4,38,84,feeder_pig,102.62
37.4,12.6,33.9,75,feeder_pig,110.08
27.9,10.7,42.3,71,feeder_pig,102.49
32.7,10.8,31.5,82,feeder_pig,95.39
27.4,10.2,35.9,83,feeder_pig,101.31
29.3,10.5,34.9,85,feeder_pig,101.01
26.8,11.2,34.6,82,feeder_pig,82.68
26.3,8.8,34.5,84,feeder_pig,91.28
23.9,11.3,35.4,81,feeder_pig,93.69
28.7,7.9,38.4,77,feeder_pig,90.95
23.6,10.5,40.5,76,feeder_pig,80.2
29.7,10.3,35,73,feeder_pig,99.04
31.3,9.1,38.3,65,feeder_pig,122.8
28.5,10,32.2,67,feeder_pig,90.42
25.9,9.1,38.1,73,feeder_pig,97.71
28.8,8.4,32,77,feeder_pig,99.72
25.8,9.5,39.4,87,feeder_pig,89.14
30.7,8.3,43.8,75,feeder_pig,109.09
19.7,10.5,34.5,83,feeder_pig,73.61
25.7,8.3,26.2,84,feeder_pig,85.14
19,11.1,32.8,73,feeder_pig,61.03
21,8.2,39.9,80,feeder_pig,84.39
32.5,9.2,37.2,73,feeder_pig,114.93
30.6,9.1,36,86,feeder_pig,103.5
24.1,12,39,80,feeder_pig,96.64
21,10.5,36.9,65,feeder_pig,85.89
15.1,9.7,39.9,76,feeder_pig,69.93
24.8,10.7,38.7,88,feeder_pig,85.33
36.7,6.8,41.1,74,feeder_pig,116.96
28.7,9.9,36.4,79,feeder_pig,86.66
24.8,13,38.6,79,feeder_pig,86.32
28.9,10.2,33.8,67,feeder_pig,98.49
20.8,10.1,32.6,79,feeder_pig,92.7
25.8,10.8,41.8,64,feeder_pig,98.25
27.4,11.3,35.9,70,feeder_pig,87.27
26.7,7,38.2,84,feeder_pig,85.73
30.2,7.5,35.5,78,feeder_pig,101.54
28.4,10.3,32.7,73,feeder_pig,102.08
29.7,8.9,35,79,feeder_pig,98.96
24.2,12,40.7,75,feeder_pig,93.33
30.6,9.5,37.2,75,feeder_pig,101.87
33.5,7.1,28.2,80,feeder_pig,112.86
23.1,8.1,34.1,69,feeder_pig,73.61
23.4,5.9,42.1,75,feeder_pig,105.64
32.3,9.6,34.1,73,feeder_pig,96.53
26.2,9.7,27.8,62,feeder_pig,95.13
32.6,9.4,42.6,68,feeder_pig,108.32
25.2,11.6,37.7,88,feeder_pig,89.08
32.8,11.8,34.7,78,feeder_pig,103.14
27.5,9.7,33.5,64,feeder_pig,96.53
28,6.8,39.3,63,feeder_pig,104.47
33.3,10.9,32.8,74,feeder_pig,114.41
25.6,10.8,39.6,87,feeder_pig,103.74
23.2,10.5,37.2,74,feeder_pig,88.89
25.2,11.5,36,85,feeder_pig,102.95
28.8,8.3,35.6,78,feeder_pig,100.26
20.7,13,34.3,79,feeder_pig,85.91
29.5,8.6,39.2,64,feeder_pig,106.05
24.8,11.1,31.5,83,feeder_pig,82.04
31.6,7.5,28.5,72,feeder_pig,104.22
17.4,8.6,37.5,82,feeder_pig,79.18
23.9,12.3,37.5,68,feeder_pig,86.23
20.3,9.6,36.9,76,feeder_pig,83.73
23.7,11.3,36.6,78,feeder_pig,93.32
28,10.4,33.7,74,feeder_pig,94.94
26.3,9.8,38.1,78,feeder_pig,70.52
26,12,34.8,73,feeder_pig,103.43
26.4,9.6,33.1,70,feeder_pig,89.57
27.8,7.3,33.8,88,feeder_pig,90.63
23,8.8,43.1,83,feeder_pig,81.12
29.8,10.8,28.1,69,feeder_pig,93.28
29.7,10.6,37,80,feeder_pig,95.86
28.5,7.6,28.3,69,feeder_pig,89.87
29.2,8.9,34.6,66,feeder_pig,93.96
28.2,9.1,33.3,83,feeder_pig,100.65
35.1,9.5,26.7,61,feeder_pig,124.21
26.7,7.9,36.6,82,feeder_pig,102.28
25.8,9.1,33.5,73,feeder_pig,100.21
24,8.9,26.6,73,feeder_pig,80.96
22.9,11.2,38.4,78,feeder_pig,86.46
22,11.2,40.7,80,feeder_pig,88.2
23.4,9.8,41,68,feeder_pig,83.86
26.7,9.4,36.4,81,feeder_pig,91.01
28.3,10.2,35.2,76,feeder_pig,103.54
27.2,8.8,40.3,65,feeder_pig,106.67
23.9,8.3,41.7,74,feeder_pig,92.33
30.6,8.6,39.5,86,feeder_pig,95.63
30,9,31.2,88,feeder_pig,97.04
26.4,8.3,35.8,81,feeder_pig,82.81
24.4,10.2,36.8,65,feeder_pig,89.52
29.2,11.1,27.8,79,feeder_pig,96.3
27.8,7.6,36.9,82,feeder_pig,96.36
